,id_str,score_keyword,score_textblob_bayes_sentiment,score_textblob_pattern_sentiment,text,score,anger,negative
82,925490503218589696,0.0,0.5,0.4768745287119976,"We must not allow ISIS to return, or enter, our country after defeating them in the Middle East and elsewhere. Enough!",0.1628124214519996,0.0,0.0
83,926484660946862085,0.0,0.5,0.4713370262054602,"JOBS, JOBS, JOBS! https://t.co/twUNktGbnb",0.16188950436757668,0.0,0.0
84,924963492645437441,0.0,0.4166666666666667,0.5522291189255955,"Report out that Obama Campaign paid $972,000 to Fusion GPS. The firm also got $12,400,000 (really?) from DNC. Nobody knows who OK'd!",0.1614826309320437,0.0,0.0
130,930742813599334402,0.0,0.5047979797979798,0.2338653315741621,"RT @realDonaldTrump: Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Mark…",0.1614247281405677,0.0,0.22988505747126436
102,928074747316928513,0.0,0.6458333333333334,0.20755226964540124,"Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget, Republicans won 4 out of 4 House… https://t.co/HODixMtPNw",0.16138802195239446,0.0,0.11494252873563217
149,925684982307348480,0.0,0.5,0.1701635795732407,"The terrorist came into our country through what is called the ""Diversity Visa Lottery Program,"" a Chuck Schumer beauty. I want merit based.",0.16129710453204804,0.17857142857142855,0.11904761904761904
189,932392209445457920,0.0,0.525,0.05176623860978461,"Shoplifting is a very big deal in China, as it should be (5-10 years in jail), but not to father LaVar. Should have… https://t.co/TyDMChjEIM",0.16094252124977892,0.16666666666666666,0.22222222222222227
85,927523335956848640,0.0,0.5,0.4656018028061866,#USA🇺🇸 #Japan🇯🇵 https://t.co/EvxFqAVnFS,0.1609336338010311,0.0,0.0
117,929326786709807105,0.0,0.5,0.28845595230928656,"“Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War” 
➡️https://t.co/hgUQP9leqK 
➡️… https://t.co/xZ8AWnxDEA",0.16064909146675244,0.0,0.17543859649122806
248,925907651350941696,0.0,0.2333333333333333,0.17326365511170294,Just spoke to President Macri of Argentina about the five proud and wonderful men killed in the West Side terror attack. God be with them!,0.16035875733343197,0.18518518518518517,0.37037037037037035
194,923149037523566592,0.0,0.5,0.06644004024845653,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt &amp; wounded!",0.1592214881895576,0.16666666666666666,0.22222222222222227
110,926401530013642765,0.0,0.5388888888888889,0.28533671139098604,My Twitter account was taken down for 11 minutes by a rogue employee. I guess the word must finally be getting out-and having an impact.,0.15794706506722195,0.0,0.12345679012345678
89,926707692395102219,0.0,0.325,0.6135465162339586,"Thank you to our GREAT Military/Veterans and @PacificCommand.

Remember #PearlHarbor. Remember the @USSArizona!

A… https://t.co/30rtKwqU98",0.15642441937232643,0.0,0.0
